IN0,IN1,IN2,IN3,IN4,IN5,IN6,IN7,Timer0_Elapsed,Timer1_Elapsed,Timer2_Elapsed,Timer3_Elapsed,Timer4_Elapsed,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,False,True
True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,True,True,True
